Gene stable ID version	Transcript stable ID version
ENSG00000277132.2	ENST00000611777.2
ENSG00000274646.4	ENST00000620940.4
ENSG00000276982.4	ENST00000610577.4
ENSG00000274511.5	ENST00000620258.4
ENSG00000277071.4	ENST00000615426.4
ENSG00000273984.4	ENST00000629947.2
ENSG00000279552.1	ENST00000624059.1
ENSG00000274058.3	ENST00000621758.3
ENSG00000276219.4	ENST00000395385.7
ENSG00000274185.4	ENST00000616790.1
ENSG00000274084.4	ENST00000612901.4
ENSG00000262666.5	ENST00000575430.5
ENSG00000276804.4	ENST00000620820.4
ENSG00000276159.4	ENST00000610794.4
ENSG00000278303.4	ENST00000631334.2
ENSG00000275086.1	ENST00000617348.1
ENSG00000281630.2	ENST00000629965.2
ENSG00000277006.2	ENST00000616398.2
ENSG00000278362.4	ENST00000612896.4
ENSG00000274953.4	ENST00000610629.4
ENSG00000275399.4	ENST00000615391.4
ENSG00000274729.1	ENST00000611610.1
ENSG00000274540.2	ENST00000610320.2
ENSG00000274894.4	ENST00000619439.1
ENSG00000275444.2	ENST00000617136.2
ENSG00000273642.1	ENST00000613276.1
ENSG00000273641.2	ENST00000613448.2
ENSG00000275196.1	ENST00000614185.1
ENSG00000274566.4	ENST00000613649.4
ENSG00000274050.4	ENST00000622589.4
ENSG00000278555.4	ENST00000622693.1
ENSG00000275843.4	ENST00000621594.4
ENSG00000274195.2	ENST00000612855.2
ENSG00000277530.1	ENST00000615431.1
ENSG00000275272.4	ENST00000627168.2
ENSG00000277923.4	ENST00000619842.4
ENSG00000273822.5	ENST00000621966.4
ENSG00000273884.4	ENST00000615416.2
ENSG00000277824.4	ENST00000615717.4
ENSG00000275724.1	ENST00000610406.1
ENSG00000274405.4	ENST00000617162.4
ENSG00000278081.3	ENST00000610953.3
ENSG00000275551.4	ENST00000617187.4
ENSG00000275794.2	ENST00000621252.2
ENSG00000275474.1	ENST00000615688.1
ENSG00000274843.3	ENST00000630818.2
ENSG00000278154.4	ENST00000616612.4
ENSG00000274174.4	ENST00000618343.4
ENSG00000278789.4	ENST00000619281.4
ENSG00000277776.4	ENST00000610981.4
ENSG00000278468.3	ENST00000626248.2
ENSG00000234096.9	ENST00000449096.6
ENSG00000275584.5	ENST00000621450.4
ENSG00000277667.1	ENST00000622368.1
ENSG00000277733.4	ENST00000621875.4
ENSG00000276420.5	ENST00000621481.4
ENSG00000277853.2	ENST00000540591.3
ENSG00000227858.1	ENST00000432222.1
ENSG00000225550.4	ENST00000440124.4
ENSG00000274005.3	ENST00000617291.3
ENSG00000275165.4	ENST00000619273.4
ENSG00000278021.4	ENST00000611408.1
ENSG00000273833.1	ENST00000614788.1
ENSG00000274109.2	ENST00000619361.2
ENSG00000264619.6	ENST00000466318.5
ENSG00000276296.1	ENST00000616277.1
ENSG00000262599.5	ENST00000575464.5
ENSG00000276299.5	ENST00000613059.4
ENSG00000275118.4	ENST00000613746.4
ENSG00000275434.5	ENST00000614217.4
ENSG00000273865.2	ENST00000613240.2
ENSG00000274739.1	ENST00000618443.1
ENSG00000276370.2	ENST00000621403.2
ENSG00000277953.4	ENST00000622300.1
ENSG00000281573.1	ENST00000612758.3
ENSG00000275979.4	ENST00000619567.4
ENSG00000273896.4	ENST00000619263.4
ENSG00000275123.1	ENST00000612678.1
ENSG00000276051.4	ENST00000615464.4
ENSG00000281484.2	ENST00000627237.2
ENSG00000274000.4	ENST00000612908.4
ENSG00000278415.4	ENST00000612836.4
ENSG00000273916.4	ENST00000621792.4
ENSG00000276421.4	ENST00000616732.1
ENSG00000276061.4	ENST00000622523.4
ENSG00000278120.1	ENST00000617661.1
ENSG00000274504.1	ENST00000613935.1
ENSG00000274137.2	ENST00000616680.2
ENSG00000227222.7	ENST00000450902.6
ENSG00000273579.3	ENST00000626888.1
ENSG00000274703.4	ENST00000610985.4
ENSG00000232804.5	ENST00000417199.4
ENSG00000282291.1	ENST00000633986.1
ENSG00000276066.4	ENST00000612436.4
ENSG00000262771.5	ENST00000576834.2
ENSG00000277457.1	ENST00000616816.1
ENSG00000276146.4	ENST00000617886.4
ENSG00000274131.3	ENST00000626555.2
ENSG00000276342.4	ENST00000630378.2
ENSG00000262327.7	ENST00000575872.2
ENSG00000274638.4	ENST00000613825.4
ENSG00000277996.1	ENST00000613354.1
ENSG00000277263.1	ENST00000613328.1
ENSG00000223898.8	ENST00000418560.5
ENSG00000226832.3	ENST00000415976.3
ENSG00000273645.2	ENST00000617214.2
ENSG00000278365.1	ENST00000617282.1
ENSG00000275798.4	ENST00000613156.4
ENSG00000274533.1	ENST00000610558.1
ENSG00000263042.5	ENST00000574659.5
ENSG00000278707.4	ENST00000610296.4
ENSG00000274126.4	ENST00000619279.4
ENSG00000275430.3	ENST00000627868.2
ENSG00000273564.2	ENST00000622117.2
ENSG00000278565.4	ENST00000629689.1
ENSG00000274941.4	ENST00000622131.4
ENSG00000281429.1	ENST00000630666.1
ENSG00000275837.3	ENST00000629690.2
ENSG00000280501.2	ENST00000625696.1
ENSG00000278634.4	ENST00000612001.4
ENSG00000276628.1	ENST00000619669.1
ENSG00000276766.1	ENST00000619966.1
ENSG00000274143.1	ENST00000612730.1
ENSG00000276701.2	ENST00000613839.2
ENSG00000281287.1	ENST00000626965.1
ENSG00000277114.4	ENST00000618405.4
ENSG00000273506.4	ENST00000619067.4
ENSG00000278270.4	ENST00000614737.4
ENSG00000233095.8	ENST00000434881.5
ENSG00000184494.8	ENST00000229725.4
ENSG00000274437.4	ENST00000620697.3
ENSG00000262145.5	ENST00000571490.1
ENSG00000274905.1	ENST00000612712.1
ENSG00000282147.1	ENST00000633408.1
ENSG00000276341.1	ENST00000613257.1
ENSG00000278211.4	ENST00000633414.1
ENSG00000276739.4	ENST00000620817.4
ENSG00000275577.4	ENST00000612105.4
ENSG00000274078.4	ENST00000613337.4
ENSG00000137394.14	ENST00000354038.10
ENSG00000276495.4	ENST00000620457.4
ENSG00000223687.4	ENST00000452316.2
ENSG00000237634.1	ENST00000438996.1
ENSG00000282307.1	ENST00000632258.1
ENSG00000277359.3	ENST00000616839.3
ENSG00000235487.8	ENST00000448455.6
ENSG00000277800.3	ENST00000619509.1
ENSG00000232178.1	ENST00000414140.1
ENSG00000276802.2	ENST00000632916.1
ENSG00000276504.4	ENST00000616798.4
ENSG00000278519.4	ENST00000615453.4
ENSG00000275644.4	ENST00000612953.4
ENSG00000276464.4	ENST00000631876.1
ENSG00000273686.4	ENST00000617605.4
ENSG00000233051.9	ENST00000427477.5
ENSG00000235754.7	ENST00000432598.2
ENSG00000274796.4	ENST00000613653.4
ENSG00000276184.4	ENST00000448265.7
ENSG00000277179.4	ENST00000618672.4
ENSG00000281950.1	ENST00000633523.1
ENSG00000275918.4	ENST00000620623.4
ENSG00000276336.4	ENST00000621348.4
ENSG00000276345.1	ENST00000612848.1
ENSG00000275633.4	ENST00000617954.4
ENSG00000274726.4	ENST00000610399.4
ENSG00000277090.2	ENST00000612831.2
